25 25
1 1 ston
1 2 ston
1 3 ston
1 4 ston
1 5 ston
1 6 ston
1 7 ston
1 8 ston
1 9 ston
1 10 ston
1 11 ston
1 12 ston
1 13 ston
1 14 ston
1 15 ston
1 16 ston
1 17 ston
1 18 ston
1 19 ston
1 20 ston
1 21 ston
1 22 ston
1 23 ston
2 1 ston
2 8 ston
2 23 ston
3 1 ston
3 8 ston
3 12 ston
3 23 ston
4 1 ston
4 12 ston
4 23 ston
5 1 ston
5 12 ston
5 23 ston
6 1 ston
6 8 ston
6 12 ston
6 18 ston
6 19 ston
6 20 ston
6 23 ston
7 1 ston
7 8 ston
7 23 ston
8 1 ston
8 2 ston
8 3 ston
8 6 ston
8 7 ston
8 8 ston
8 23 ston
9 1 ston
9 23 ston
10 1 ston
10 14 ston
10 23 ston
11 1 ston
11 11 watr
11 12 watr
11 13 watr
11 14 ston
11 23 ston
12 1 ston
12 8 ston
12 9 ston
12 10 ston
12 11 watr
12 12 watr
12 13 watr
12 14 ston
12 15 ston
12 16 ston
12 23 ston
13 1 ston
13 10 ston
13 11 watr
13 12 watr
13 13 watr
13 23 ston
14 1 ston
14 10 ston
14 23 ston
15 1 ston
15 23 ston
16 1 ston
16 16 ston
16 17 ston
16 18 ston
16 21 ston
16 22 ston
16 23 ston
17 1 ston
17 16 ston
17 23 ston
18 1 ston
18 4 ston
18 5 ston
18 6 ston
18 12 ston
18 16 ston
18 23 ston
19 1 ston
19 12 ston
19 23 ston
20 1 ston
20 12 ston
20 23 ston
21 1 ston
21 12 ston
21 16 ston
21 23 ston
22 1 ston
22 16 ston
22 23 ston
23 1 ston
23 2 ston
23 3 ston
23 4 ston
23 5 ston
23 6 ston
23 7 ston
23 8 ston
23 9 ston
23 10 ston
23 11 ston
23 12 ston
23 13 ston
23 14 ston
23 15 ston
23 16 ston
23 17 ston
23 18 ston
23 19 ston
23 20 ston
23 21 ston
23 22 ston
23 23 ston
